s,m3/s,m3/s,m/s,,s
 3.3705302E+000, 9.9704803E-001, 9.9704803E-001, 2.2204460E-016, 1.0000000E+000, 1.0888312E+002
 3.4825832E+000, 9.9764000E-001, 9.9764000E-001, 2.2204460E-016, 1.0000000E+000, 1.1042687E+002
 3.5818594E+000, 9.9764000E-001, 9.9764000E-001, 2.2204460E-016, 1.0000000E+000, 1.1244923E+002
 3.6811356E+000, 9.9845286E-001, 9.9845286E-001, 2.2204460E-016, 1.0000000E+000, 1.1398935E+002
 3.7804118E+000, 9.9873129E-001, 9.9873129E-001, 2.2204460E-016, 1.0000000E+000, 1.1552583E+002
 3.8796880E+000, 9.9895965E-001, 9.9895965E-001, 2.2204460E-016, 1.0000000E+000, 1.1706773E+002
 3.9789642E+000, 9.9914692E-001, 9.9914692E-001, 2.2204460E-016, 1.0000000E+000, 1.1861152E+002
 4.0782404E+000, 9.9930049E-001, 9.9930049E-001, 2.2204460E-016, 1.0000000E+000, 1.2015550E+002
 4.1775166E+000, 9.9942642E-001, 9.9942642E-001, 2.2204460E-016, 1.0000000E+000, 1.2168987E+002
 4.2767928E+000, 9.9952969E-001, 9.9952969E-001, 2.2204460E-016, 1.0000000E+000, 1.2319599E+002
 4.3760691E+000, 9.9961437E-001, 9.9961437E-001, 2.2204460E-016, 1.0000000E+000, 1.2472434E+002
 4.4753453E+000, 9.9968380E-001, 9.9968380E-001, 2.2204460E-016, 1.0000000E+000, 1.2625694E+002
 4.5746215E+000, 9.9974074E-001, 9.9974074E-001, 2.2204460E-016, 1.0000000E+000, 1.2779075E+002
 4.6738977E+000, 9.9978742E-001, 9.9978742E-001, 2.2204460E-016, 1.0000000E+000, 1.2931921E+002
 4.7731739E+000, 9.9982570E-001, 9.9982570E-001, 2.2204460E-016, 1.0000000E+000, 1.3084882E+002
 4.8724501E+000, 9.9985709E-001, 9.9985709E-001, 2.2204460E-016, 1.0000000E+000, 1.3238171E+002
 4.9717263E+000, 9.9988282E-001, 9.9988282E-001, 2.2204460E-016, 1.0000000E+000, 1.3394325E+002
 5.0710025E+000, 9.9990392E-001, 9.9990392E-001, 2.2204460E-016, 1.0000000E+000, 1.3548242E+002
 5.1702787E+000, 9.9992122E-001, 9.9992122E-001, 2.2204460E-016, 1.0000000E+000, 1.3701848E+002
 5.2695549E+000, 9.9993541E-001, 9.9993541E-001, 2.2204460E-016, 1.0000000E+000, 1.3854901E+002
 5.3688311E+000, 9.9994704E-001, 9.9994704E-001, 2.2204460E-016, 1.0000000E+000, 1.4007098E+002
 5.4681074E+000, 9.9995658E-001, 9.9995658E-001, 2.2204460E-016, 1.0000000E+000, 1.4159798E+002
 5.5673836E+000, 9.9996440E-001, 9.9996440E-001, 2.2204460E-016, 1.0000000E+000, 1.4313530E+002
 5.6666598E+000, 9.9997081E-001, 9.9997081E-001, 2.2204460E-016, 1.0000000E+000, 1.4467317E+002
 5.7659360E+000, 9.9997607E-001, 9.9997607E-001, 2.2204460E-016, 1.0000000E+000, 1.4621166E+002
 5.8652122E+000, 9.9998038E-001, 9.9998038E-001, 2.2204460E-016, 1.0000000E+000, 1.4774461E+002
 5.9644884E+000, 9.9998391E-001, 9.9998391E-001, 2.2204460E-016, 1.0000000E+000, 1.4927571E+002
 6.0637646E+000, 9.9998681E-001, 9.9998681E-001, 2.2204460E-016, 1.0000000E+000, 1.5080277E+002
 6.1630408E+000, 9.9998918E-001, 9.9998918E-001, 2.2204460E-016, 1.0000000E+000, 1.5235115E+002
 6.2623170E+000, 9.9999113E-001, 9.9999113E-001, 2.2204460E-016, 1.0000000E+000, 1.5388649E+002
 6.3615932E+000, 9.9999273E-001, 9.9999273E-001, 2.2204460E-016, 1.0000000E+000, 1.5542395E+002
 6.4608694E+000, 9.9999404E-001, 9.9999404E-001, 2.2204460E-016, 1.0000000E+000, 1.5695639E+002
 6.5601456E+000, 9.9999511E-001, 9.9999511E-001, 2.2204460E-016, 1.0000000E+000, 1.5849671E+002
 6.6594219E+000, 9.9999599E-001, 9.9999599E-001, 2.2204460E-016, 1.0000000E+000, 1.6002933E+002
 6.7586981E+000, 9.9999671E-001, 9.9999671E-001, 2.2204460E-016, 1.0000000E+000, 1.6156580E+002
 6.8475707E+000, 9.9999671E-001, 9.9999671E-001, 2.2204460E-016, 1.0000000E+000, 1.6357579E+002
 6.9364434E+000, 9.9999774E-001, 9.9999774E-001, 2.2204460E-016, 1.0000000E+000, 1.6510904E+002
 7.0253161E+000, 9.9999811E-001, 9.9999811E-001, 2.2204460E-016, 1.0000000E+000, 1.6664392E+002
 7.1141888E+000, 9.9999842E-001, 9.9999842E-001, 2.2204460E-016, 1.0000000E+000, 1.6817601E+002
 7.2030615E+000, 9.9999868E-001, 9.9999868E-001, 2.2204460E-016, 1.0000000E+000, 1.6970975E+002
 7.2919342E+000, 9.9999889E-001, 9.9999889E-001, 2.2204460E-016, 1.0000000E+000, 1.7124529E+002
 7.3808068E+000, 9.9999907E-001, 9.9999907E-001, 2.2204460E-016, 1.0000000E+000, 1.7278021E+002
 7.4696795E+000, 9.9999922E-001, 9.9999922E-001, 2.2204460E-016, 1.0000000E+000, 1.7430896E+002
 7.5585522E+000, 9.9999935E-001, 9.9999935E-001, 2.2204460E-016, 1.0000000E+000, 1.7583284E+002
 7.6474249E+000, 9.9999946E-001, 9.9999946E-001, 2.2204460E-016, 1.0000000E+000, 1.7736917E+002
 7.7362976E+000, 9.9999954E-001, 9.9999954E-001, 2.2204460E-016, 1.0000000E+000, 1.7891261E+002
 7.8251702E+000, 9.9999962E-001, 9.9999962E-001, 2.2204460E-016, 1.0000000E+000, 1.8048683E+002
 7.9140429E+000, 9.9999968E-001, 9.9999968E-001, 2.2204460E-016, 1.0000000E+000, 1.8206641E+002
 8.0029156E+000, 9.9999973E-001, 9.9999973E-001, 2.2204460E-016, 1.0000000E+000, 1.8360373E+002
 8.0917883E+000, 9.9999978E-001, 9.9999978E-001, 2.2204460E-016, 1.0000000E+000, 1.8513707E+002
 8.1806610E+000, 9.9999981E-001, 9.9999981E-001, 2.2204460E-016, 1.0000000E+000, 1.8669013E+002
 8.2695337E+000, 9.9999984E-001, 9.9999984E-001, 2.2204460E-016, 1.0000000E+000, 1.8825978E+002
 8.3584063E+000, 9.9999987E-001, 9.9999987E-001, 2.2204460E-016, 1.0000000E+000, 1.8979602E+002
 8.4472790E+000, 9.9999989E-001, 9.9999989E-001, 2.2204460E-016, 1.0000000E+000, 1.9133008E+002
 8.5361517E+000, 9.9999991E-001, 9.9999991E-001, 2.2204460E-016, 1.0000000E+000, 1.9287076E+002
 8.6250244E+000, 9.9999992E-001, 9.9999992E-001, 2.2204460E-016, 1.0000000E+000, 1.9439855E+002
 8.7138971E+000, 9.9999994E-001, 9.9999994E-001, 2.2204460E-016, 1.0000000E+000, 1.9597879E+002
 8.8027697E+000, 9.9999995E-001, 9.9999995E-001, 2.2204460E-016, 1.0000000E+000, 1.9751164E+002
 8.8916424E+000, 9.9999995E-001, 9.9999995E-001, 2.2204460E-016, 1.0000000E+000, 1.9904645E+002
 8.9805151E+000, 9.9999996E-001, 9.9999996E-001, 2.2204460E-016, 1.0000000E+000, 2.0057976E+002
 9.0693878E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000, 2.0211936E+002
 9.1582605E+000, 9.9999997E-001, 9.9999997E-001, 2.2204460E-016, 1.0000000E+000, 2.0364543E+002
 9.2471332E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 2.0518462E+002
 9.3360058E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 2.0671594E+002
 9.4248785E+000, 9.9999998E-001, 9.9999998E-001, 2.2204460E-016, 1.0000000E+000, 2.0825255E+002
 9.5137512E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 2.0978726E+002
 9.6026239E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 2.1132024E+002
 9.6914966E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 2.1285668E+002
 9.7803692E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 2.1438988E+002
 9.8692419E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 2.1592236E+002
 9.9581146E+000, 9.9999999E-001, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 2.1750218E+002
 1.0046987E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.1904964E+002
 1.0135860E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.2063655E+002
 1.0224733E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.2218234E+002
 1.0313605E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.2371898E+002
 1.0402478E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.2525032E+002
 1.0491351E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.2678992E+002
 1.0580223E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.2832190E+002
 1.0669096E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.2986257E+002
 1.0757969E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.3139198E+002
 1.0846841E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.3293038E+002
 1.0935714E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.3446948E+002
 1.1024587E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.3600392E+002
 1.1113459E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.3754939E+002
 1.1202332E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.3908772E+002
 1.1291205E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.4062785E+002
 1.1380078E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.4217349E+002
 1.1468950E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.4375902E+002
 1.1557823E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.4531575E+002
 1.1646696E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.4686284E+002
 1.1735568E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.4839374E+002
 1.1824441E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.4993152E+002
 1.1913314E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.5146173E+002
 1.2002186E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.5302458E+002
 1.2091059E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.5455888E+002
 1.2179932E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.5609790E+002
 1.2268804E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.5763110E+002
 1.2357677E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.5919818E+002
 1.2446550E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.6073218E+002
 1.2535422E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.6227393E+002
 1.2624295E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.6384372E+002
 1.2713168E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.6538654E+002
 1.2802040E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.6693128E+002
 1.2890913E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.6847330E+002
 1.2979786E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.7001514E+002
 1.3068658E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.7156159E+002
 1.3157531E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.7311701E+002
 1.3246404E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.7467609E+002
 1.3335277E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.7622086E+002
 1.3424149E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.7779440E+002
 1.3513022E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.7934873E+002
 1.3601895E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.8088764E+002
 1.3690767E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.8245529E+002
 1.3779640E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.8404245E+002
 1.3868513E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.8560010E+002
 1.3957385E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.8714340E+002
 1.4046258E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.8868387E+002
 1.4135131E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.9022849E+002
 1.4224003E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.9177445E+002
 1.4312876E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.9331815E+002
 1.4401749E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.9486655E+002
 1.4490621E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.9640918E+002
 1.4579494E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.9795010E+002
 1.4668367E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 2.9949860E+002
 1.4757239E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.0105310E+002
 1.4846112E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.0261722E+002
 1.4934985E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.0415399E+002
 1.5023857E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.0570249E+002
 1.5112730E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.0723807E+002
 1.5201603E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.0877112E+002
 1.5290476E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000, 3.1030225E+002
 1.5379348E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.1183872E+002
 1.5468221E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.1336490E+002
 1.5557094E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.1489218E+002
 1.5645966E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.1642157E+002
 1.5734839E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.1797461E+002
 1.5823712E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.1952234E+002
 1.5912584E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.2107544E+002
 1.6001457E+001, 1.0000000E+000, 1.0000000E+000, 1.1102230E-016, 1.0000000E+000, 3.2264700E+002
 1.6090330E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.2419156E+002
 1.6179202E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.2573908E+002
 1.6268075E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.2728024E+002
 1.6356948E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.2881882E+002
 1.6445820E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 3.3036105E+002
 1.6534693E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 3.3190363E+002
 1.6623566E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 3.3344290E+002
 1.6712438E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 3.3497601E+002
 1.6801311E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000, 3.3652063E+002
 1.6890184E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.3805460E+002
 1.6979056E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.3960529E+002
 1.7067929E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.4115161E+002
 1.7156802E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.4276837E+002
 1.7245675E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.4430884E+002
 1.7334547E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.4599124E+002
 1.7423420E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.4756815E+002
 1.7512293E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.4913934E+002
 1.7601165E+001, 1.0000000E+000, 1.0000000E+000, 1.1102230E-016, 1.0000000E+000, 3.5068250E+002
 1.7690038E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.5222696E+002
 1.7778911E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.5377255E+002
 1.7867783E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.5539380E+002
 1.7956656E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.5694492E+002
 1.8045529E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.5849173E+002
 1.8134401E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.6005423E+002
 1.8223274E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.6163525E+002
 1.8312147E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.6316287E+002
 1.8401019E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.6475867E+002
 1.8489892E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.6631635E+002
 1.8578765E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.6784235E+002
 1.8667637E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.6937604E+002
 1.8756510E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.7090811E+002
 1.8845383E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.7243991E+002
 1.8934255E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.7397427E+002
 1.9023128E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.7551132E+002
 1.9112001E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.7708527E+002
 1.9200874E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.7861960E+002
 1.9289746E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.8015100E+002
 1.9378619E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.8168057E+002
 1.9467492E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.8321716E+002
 1.9556364E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.8476929E+002
 1.9645237E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.8631259E+002
 1.9734110E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.8785684E+002
 1.9822982E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.8939114E+002
 1.9911855E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.9093201E+002
 2.0000728E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.9248151E+002
 2.0089600E+001, 1.0000000E+000, 1.0000000E+000, 5.5511151E-017, 1.0000000E+000, 3.9402957E+002
 2.0178473E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.9558127E+002
 2.0267346E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.9714609E+002
 2.0356218E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 3.9868683E+002
 2.0445091E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.0022659E+002
 2.0533964E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.0180924E+002
 2.0622836E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.0337555E+002
 2.0711709E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.0492819E+002
 2.0800582E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.0647382E+002
 2.0889454E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.0800528E+002
 2.0978327E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.0956018E+002
 2.1067200E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.1107636E+002
 2.1156073E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.1261652E+002
 2.1244945E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.1420361E+002
 2.1333818E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.1577094E+002
 2.1422691E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.1735300E+002
 2.1511563E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.1888922E+002
 2.1600436E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.2043372E+002
 2.1689309E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.2197852E+002
 2.1778181E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000, 4.2352847E+002
