Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     37,      1,     73,      1,     79,     24,     13,  0.43368087E-18,      1,     70,     10,      8,  0.13433929E+00
     37,      1,     74,      1,     79,      4,      3,  0.21684043E-18,      1,     66,     19,      8,  0.19163236E+00
     38,      1,     75,      1,     79,     13,     11,  0.43368087E-18,      1,     70,     10,      8,  0.18545321E+00
     38,      1,     76,      1,     79,     18,     15,  0.43368087E-18,      1,     66,     19,      8,  0.20029515E+00
     39,      1,     77,      1,     79,     13,      3,  0.43368087E-18,      1,     68,     15,      8,  0.23337691E+00
     39,      1,     78,      1,     79,     18,      9,  0.21684043E-18,      1,     66,     19,      8,  0.23392081E+00
     40,      1,     79,      1,     79,     10,     11,  0.43368087E-18,      1,     64,     13,      8,  0.26273214E+00
     40,      1,     80,      1,     79,     17,     12,  0.43368087E-18,      1,     68,     15,      8,  0.24279496E+00
     41,      1,     81,      1,     79,     17,      3,  0.43368087E-18,      1,     66,     19,      8,  0.36091133E+00
     41,      1,     82,      1,     79,      7,      3,  0.21684043E-18,      1,     66,     19,      8,  0.24979119E+00
     42,      1,     83,      1,     79,     46,     22,  0.43368087E-18,      1,     64,     19,      8,  0.45629777E+00
     42,      1,     84,      1,     79,     22,      3,  0.43368087E-18,      1,     64,     19,      8,  0.37217337E+00
     43,      1,     85,      1,     79,     15,      3,  0.43368087E-18,      1,     64,     14,      8,  0.35498481E+00
     43,      1,     86,      1,     79,     19,     12,  0.43368087E-18,      1,     68,     19,      8,  0.39606088E+00
     44,      1,     87,      1,     79,     18,     15,  0.86736174E-18,      1,     64,     17,      8,  0.33975182E+00
     44,      1,     88,      1,     79,     11,      3,  0.43368087E-18,      1,     64,     19,      8,  0.40302497E+00
     45,      1,     89,      1,     79,     14,     12,  0.86736174E-18,      1,     66,     14,      8,  0.33691532E+00
     45,      1,     90,      1,     79,     27,     11,  0.43368087E-18,      1,     66,     14,      8,  0.43854710E+00
     46,      1,     91,      1,     79,     13,     15,  0.86736174E-18,      1,     65,     17,      8,  0.33487114E+00
     46,      1,     92,      1,     79,     13,     15,  0.86736174E-18,      1,     64,     17,      8,  0.39251422E+00
     47,      1,     93,      1,     79,     19,      7,  0.43368087E-18,      1,     67,     12,      8,  0.39565010E+00
     47,      1,     94,      1,     79,     11,      6,  0.43368087E-18,      1,     66,     14,      8,  0.41665796E+00
     48,      1,     95,      1,     79,     17,      3,  0.86736174E-18,      1,     64,     17,      8,  0.34073129E+00
     48,      1,     96,      1,     79,     20,     11,  0.86736174E-18,      1,     66,     14,      8,  0.38971641E+00
     49,      1,     97,      1,     79,     16,      4,  0.86736174E-18,      1,     64,     15,      8,  0.42646576E+00
     49,      1,     98,      1,     79,     16,     15,  0.86736174E-18,      1,     66,     14,      8,  0.61088087E+00
     50,      1,     99,      1,     79,     16,     12,  0.17347235E-17,      1,     66,     19,     10,  0.53480784E+00
     50,      1,    100,      1,     79,     16,     12,  0.86736174E-18,      1,     66,     14,      8,  0.64426309E+00
     51,      1,    101,      1,     79,     15,     10,  0.86736174E-18,      1,     68,     15,     10,  0.69774795E+00
     51,      1,    102,      1,     79,     18,     10,  0.86736174E-18,      1,     66,     14,      8,  0.45612002E+00
     52,      1,    103,      1,     79,     17,     13,  0.86736174E-18,      1,     68,     15,     10,  0.76234691E+00
     52,      1,    104,      1,     79,     17,     13,  0.86736174E-18,      1,     66,     19,     10,  0.48918601E+00
     53,      1,    105,      1,     79,     14,      3,  0.86736174E-18,      1,     68,     15,     10,  0.83645786E+00
     53,      1,    106,      1,     79,     13,      3,  0.86736174E-18,      1,     68,     15,     10,  0.63190133E+00
     54,      1,    107,      1,     79,     14,      3,  0.86736174E-18,      1,     65,     12,     10,  0.92185530E+00
     54,      1,    108,      1,     79,     14,      3,  0.86736174E-18,      1,     65,     12,     10,  0.75068436E+00
     55,      1,    109,      1,     79,     16,     11,  0.17347235E-17,      1,     65,     12,     10,  0.97743041E+00
     55,      1,    110,      1,     79,     15,     11,  0.17347235E-17,      1,     65,     12,     10,  0.86763365E+00
     56,      1,    111,      1,     79,     16,     10,  0.17347235E-17,      1,     65,     12,     10,  0.10102813E+01
     56,      1,    112,      1,     79,     14,      4,  0.86736174E-18,      1,     65,     12,     10,  0.95122029E+00
     57,      1,    113,      1,     79,     19,      4,  0.86736174E-18,      1,     65,     12,     10,  0.10132591E+01
     57,      1,    114,      1,     79,     19,      3,  0.86736174E-18,      1,     65,     12,     10,  0.97320085E+00
     58,      1,    115,      1,     79,     18,      4,  0.86736174E-18,      1,     65,     12,     10,  0.10529298E+01
     58,      1,    116,      1,     79,     16,      4,  0.86736174E-18,      1,     65,     12,     10,  0.98777435E+00
     59,      1,    117,      1,     79,     14,      4,  0.17347235E-17,      1,     65,     12,     10,  0.10317749E+01
     59,      1,    118,      1,     79,     14,      4,  0.17347235E-17,      1,     65,     12,     10,  0.99123572E+00
     60,      1,    119,      1,     79,     23,      3,  0.86736174E-18,      1,     65,     12,     10,  0.97758609E+00
     60,      1,    120,      1,     79,     19,      5,  0.86736174E-18,      1,     65,     12,     10,  0.97243108E+00
     61,      1,    121,      1,     79,     14,     13,  0.34694470E-17,      1,     65,     12,     10,  0.92217359E+00
     61,      1,    122,      1,     79,     13,     10,  0.17347235E-17,      1,     65,     12,     10,  0.93864768E+00
     62,      1,    123,      1,     79,     16,     13,  0.34694470E-17,      1,     66,     19,     10,  0.89597223E+00
     62,      1,    124,      1,     79,     18,     13,  0.34694470E-17,      1,     65,     12,     10,  0.90847216E+00
     63,      1,    125,      1,     79,     17,      3,  0.17347235E-17,      1,     66,     19,     10,  0.91108714E+00
     63,      1,    126,      1,     79,     17,      3,  0.17347235E-17,      1,     66,     19,     10,  0.92412991E+00
     64,      1,    127,      1,     79,     19,     13,  0.34694470E-17,      1,     66,     19,     10,  0.92431548E+00
     64,      1,    128,      1,     79,     16,      4,  0.17347235E-17,      1,     66,     19,     10,  0.93490300E+00
     65,      1,    129,      1,     79,     18,     11,  0.34694470E-17,      1,     66,     19,     10,  0.97486905E+00
     65,      1,    130,      1,     79,     12,     12,  0.34694470E-17,      1,     66,     19,     10,  0.94699951E+00
     66,      1,    131,      1,     79,     16,      4,  0.34694470E-17,      1,     66,     19,     10,  0.99889751E+00
     66,      1,    132,      1,     79,     19,     15,  0.34694470E-17,      1,     66,     19,     10,  0.96703221E+00
     67,      1,    133,      1,     79,     11,      5,  0.17347235E-17,      1,     66,     19,     10,  0.97036890E+00
     67,      1,    134,      1,     79,     12,      6,  0.34694470E-17,      1,     66,     19,     10,  0.97038551E+00
     68,      1,    135,      1,     79,     11,      5,  0.34694470E-17,      1,     66,     19,     10,  0.95452257E+00
     68,      1,    136,      1,     79,     15,     13,  0.69388939E-17,      1,     66,     19,     10,  0.96959226E+00
     69,      1,    137,      1,     79,     21,      5,  0.34694470E-17,      1,     67,     13,     10,  0.94752108E+00
     69,      1,    138,      1,     79,     21,      5,  0.34694470E-17,      1,     66,     19,     10,  0.96112769E+00
     70,      1,    139,      1,     79,     15,     12,  0.69388939E-17,      1,     67,     13,     10,  0.95615382E+00
     70,      1,    140,      1,     79,     21,      4,  0.34694470E-17,      1,     67,     13,     10,  0.96770593E+00
     71,      1,    141,      1,     79,     16,     11,  0.69388939E-17,      1,     67,     13,     10,  0.95975405E+00
     71,      1,    142,      1,     79,     16,     11,  0.69388939E-17,      1,     67,     13,     10,  0.97804959E+00
     72,      1,    143,      1,     79,     18,     15,  0.69388939E-17,      1,     67,     15,     10,  0.10374026E+01
     72,      1,    144,      1,     79,     13,     11,  0.69388939E-17,      1,     67,     13,     10,  0.98015426E+00
     73,      1,    145,      1,     79,     13,      3,  0.34694470E-17,      1,     67,     15,     10,  0.12100761E+01
     73,      1,    146,      1,     79,     14,      6,  0.69388939E-17,      1,     67,     15,     10,  0.10504497E+01
     74,      1,    147,      1,     79,     17,      3,  0.69388939E-17,      1,     67,     15,     10,  0.13188205E+01
     74,      1,    148,      1,     79,     18,      5,  0.69388939E-17,      1,     67,     15,     10,  0.11790178E+01
     75,      1,    149,      1,     79,     11,      3,  0.34694470E-17,      1,     67,     15,     10,  0.13608712E+01
     75,      1,    150,      1,     79,     20,      3,  0.34694470E-17,      1,     67,     15,     10,  0.12750286E+01
     76,      1,    151,      1,     79,     12,      3,  0.69388939E-17,      1,     67,     15,     10,  0.14295071E+01
     76,      1,    152,      1,     79,     17,      6,  0.69388939E-17,      1,     67,     15,     10,  0.13796765E+01
     77,      1,    153,      1,     79,     14,     12,  0.69388939E-17,      1,     67,     15,     10,  0.14627476E+01
     77,      1,    154,      1,     79,     14,     12,  0.69388939E-17,      1,     67,     15,     10,  0.14466166E+01
     78,      1,    155,      1,     79,     15,     11,  0.13877788E-16,      1,     67,     15,     10,  0.15100854E+01
     78,      1,    156,      1,     79,     15,     15,  0.13877788E-16,      1,     67,     15,     10,  0.14986189E+01
     79,      1,    157,      1,     79,     14,     11,  0.69388939E-17,      1,     67,     15,     10,  0.15511689E+01
     79,      1,    158,      1,     79,     18,     13,  0.69388939E-17,      1,     67,     15,     10,  0.15286812E+01
     80,      1,    159,      1,     79,     16,     11,  0.69388939E-17,      1,     67,     15,     10,  0.16158858E+01
     80,      1,    160,      1,     79,     14,     11,  0.69388939E-17,      1,     67,     15,     10,  0.15681744E+01
     81,      1,    161,      1,     79,     14,      8,  0.69388939E-17,      1,     67,     15,     10,  0.16466432E+01
     81,      1,    162,      1,     79,     13,     13,  0.13877788E-16,      1,     66,     16,     10,  0.16728165E+01
     82,      1,    163,      1,     79,     15,      5,  0.69388939E-17,      1,     66,     16,     10,  0.17530208E+01
     82,      1,    164,      1,     79,     15,      6,  0.69388939E-17,      1,     66,     16,     10,  0.18161057E+01
     83,      1,    165,      1,     79,     15,      4,  0.69388939E-17,      1,     66,     16,     10,  0.18959422E+01
     83,      1,    166,      1,     79,     13,     11,  0.69388939E-17,      1,     66,     16,     10,  0.19724302E+01
     84,      1,    167,      1,     79,     14,     11,  0.13877788E-16,      1,     66,     16,     10,  0.20630585E+01
     84,      1,    168,      1,     79,     14,     11,  0.13877788E-16,      1,     66,     16,     10,  0.21388102E+01
     85,      1,    169,      1,     79,     17,      4,  0.13877788E-16,      1,     66,     16,     10,  0.22438021E+01
     85,      1,    170,      1,     79,     18,     14,  0.13877788E-16,      1,     66,     16,     10,  0.23111954E+01
     86,      1,    171,      1,     79,     17,     14,  0.13877788E-16,      1,     66,     16,     10,  0.24091659E+01
     86,      1,    172,      1,     79,     17,     14,  0.13877788E-16,      1,     66,     16,     10,  0.24804920E+01
     87,      1,    173,      1,     79,     16,      4,  0.69388939E-17,      1,     66,     16,     10,  0.25725648E+01
     87,      1,    174,      1,     79,     15,      3,  0.69388939E-17,      1,     66,     16,     10,  0.26363705E+01
     88,      1,    175,      1,     79,     18,     14,  0.27755576E-16,      1,     66,     16,     10,  0.28060921E+01
     88,      1,    176,      1,     79,     15,      4,  0.13877788E-16,      1,     66,     16,     10,  0.28130399E+01
     89,      1,    177,      1,     79,     18,     13,  0.13877788E-16,      1,     66,     16,     10,  0.29810839E+01
     89,      1,    178,      1,     79,     18,     13,  0.13877788E-16,      1,     66,     16,     10,  0.29875732E+01
     90,      1,    179,      1,     79,     13,     14,  0.27755576E-16,      1,     66,     16,     10,  0.31032675E+01
     90,      1,    180,      1,     79,     16,     15,  0.27755576E-16,      1,     66,     16,     10,  0.31340245E+01
     91,      1,    181,      1,     79,     13,      5,  0.13877788E-16,      1,     66,     16,     10,  0.32279124E+01
     91,      1,    182,      1,     79,     16,     15,  0.27755576E-16,      1,     66,     16,     10,  0.32639599E+01
     92,      1,    183,      1,     79,     18,     13,  0.13877788E-16,      1,     66,     16,     10,  0.33454130E+01
     92,      1,    184,      1,     79,     15,     15,  0.27755576E-16,      1,     66,     16,     10,  0.33731525E+01
     93,      1,    185,      1,     79,     16,     14,  0.27755576E-16,      1,     66,     16,     10,  0.34321743E+01
     93,      1,    186,      1,     79,     19,      7,  0.13877788E-16,      1,     66,     16,     10,  0.34704864E+01
     94,      1,    187,      1,     79,     16,     14,  0.27755576E-16,      1,     66,     16,     10,  0.35149542E+01
     94,      1,    188,      1,     79,     14,     15,  0.27755576E-16,      1,     66,     16,     10,  0.35216964E+01
     95,      1,    189,      1,     79,     15,     14,  0.27755576E-16,      1,     66,     16,     10,  0.35890115E+01
     95,      1,    190,      1,     79,     15,     14,  0.27755576E-16,      1,     66,     16,     10,  0.35178615E+01
     96,      1,    191,      1,     79,     18,     14,  0.27755576E-16,      1,     66,     16,     10,  0.35646608E+01
     96,      1,    192,      1,     79,     18,     14,  0.27755576E-16,      1,     66,     16,     10,  0.35044066E+01
     97,      1,    193,      1,     79,     18,     15,  0.55511151E-16,      1,     66,     16,     10,  0.34317512E+01
     97,      1,    194,      1,     79,     18,     15,  0.55511151E-16,      1,     66,     16,     10,  0.34098180E+01
     98,      1,    195,      1,     79,     15,     15,  0.55511151E-16,      1,     66,     15,     10,  0.34087112E+01
     98,      1,    196,      1,     79,     15,      9,  0.13877788E-16,      1,     66,     15,     10,  0.33613873E+01
     99,      1,    197,      1,     79,     13,     14,  0.27755576E-16,      1,     66,     15,     10,  0.33717822E+01
     99,      1,    198,      1,     79,     13,     14,  0.27755576E-16,      1,     66,     15,     10,  0.33509324E+01
    100,      1,    199,      1,     79,     14,     14,  0.55511151E-16,      1,     66,     15,     10,  0.33239171E+01
    100,      1,    200,      1,     79,     14,      7,  0.13877788E-16,      1,     66,     15,     10,  0.33139256E+01
    101,      1,    201,      1,     79,     10,      7,  0.13877788E-16,      1,     66,     15,     10,  0.32383939E+01
    101,      1,    202,      1,     79,     17,      9,  0.13877788E-16,      1,     66,     15,     10,  0.32484610E+01
    102,      1,    203,      1,     79,     13,     15,  0.55511151E-16,      1,     66,     15,     10,  0.31375362E+01
    102,      1,    204,      1,     79,     13,     15,  0.55511151E-16,      1,     66,     15,     10,  0.31333231E+01
    103,      1,    205,      1,     79,     20,      4,  0.13877788E-16,      1,     66,     15,     10,  0.31227740E+01
    103,      1,    206,      1,     79,     13,      8,  0.13877788E-16,      1,     66,     15,     10,  0.30473731E+01
    104,      1,    207,      1,     79,     17,     15,  0.11102230E-15,      1,     66,     15,     10,  0.30483650E+01
    104,      1,    208,      1,     79,     16,      8,  0.13877788E-16,      1,     66,     15,     10,  0.29857900E+01
    105,      1,    209,      1,     79,     17,     15,  0.11102230E-15,      1,     66,     15,     10,  0.29093066E+01
    105,      1,    210,      1,     79,     17,     15,  0.11102230E-15,      1,     66,     15,     10,  0.28970258E+01
    106,      1,    211,      1,     79,     17,     14,  0.55511151E-16,      1,     66,     15,     10,  0.28177021E+01
    106,      1,    212,      1,     79,     11,     15,  0.55511151E-16,      1,     66,     15,     10,  0.28207424E+01
    107,      1,    213,      1,     79,     19,     15,  0.11102230E-15,      1,     66,     15,     10,  0.27449912E+01
    107,      1,    214,      1,     79,     17,     11,  0.13877788E-16,      1,     66,     15,     10,  0.27530199E+01
    108,      1,    215,      1,     79,     16,     15,  0.11102230E-15,      1,     66,     15,     10,  0.26850007E+01
    108,      1,    216,      1,     79,     16,      7,  0.13877788E-16,      1,     66,     15,     10,  0.26925650E+01
    109,      1,    217,      1,     79,     15,     11,  0.27755576E-16,      1,     66,     15,     10,  0.26369402E+01
    109,      1,    218,      1,     79,     19,     12,  0.27755576E-16,      1,     66,     15,     10,  0.26303780E+01
    110,      1,    219,      1,     79,     13,     15,  0.11102230E-15,      1,     65,     14,     10,  0.26854858E+01
    110,      1,    220,      1,     79,     16,     15,  0.11102230E-15,      1,     65,     14,     10,  0.27004032E+01
    111,      1,    221,      1,     79,     20,     15,  0.11102230E-15,      1,     65,     14,     10,  0.28501244E+01
    111,      1,    222,      1,     79,     14,      7,  0.13877788E-16,      1,     65,     14,     10,  0.28494244E+01
    112,      1,    223,      1,     79,     12,     14,  0.11102230E-15,      1,     65,     14,     10,  0.29650006E+01
    112,      1,    224,      1,     79,     23,      7,  0.13877788E-16,      1,     65,     14,     10,  0.29860891E+01
    113,      1,    225,      1,     79,     11,     14,  0.55511151E-16,      1,     65,     14,     10,  0.30870823E+01
    113,      1,    226,      1,     79,     16,      6,  0.13877788E-16,      1,     65,     14,     10,  0.31132440E+01
    114,      1,    227,      1,     79,     18,     14,  0.11102230E-15,      1,     65,     14,     10,  0.32050699E+01
    114,      1,    228,      1,     79,     18,      8,  0.13877788E-16,      1,     65,     14,     10,  0.32194754E+01
    115,      1,    229,      1,     79,     10,     11,  0.27755576E-16,      1,     65,     14,     10,  0.33060142E+01
    115,      1,    230,      1,     79,     13,      8,  0.13877788E-16,      1,     65,     14,     10,  0.33050960E+01
    116,      1,    231,      1,     79,     15,     13,  0.27755576E-16,      1,     65,     14,     10,  0.33732964E+01
    116,      1,    232,      1,     79,     10,     15,  0.11102230E-15,      1,     65,     14,     10,  0.33638387E+01
    117,      1,    233,      1,     79,     12,     15,  0.11102230E-15,      1,     65,     14,     10,  0.34074328E+01
    117,      1,    234,      1,     79,     10,     14,  0.55511151E-16,      1,     65,     14,     10,  0.33689690E+01
    118,      1,    235,      1,     79,     16,      8,  0.13877788E-16,      1,     65,     14,     10,  0.35313365E+01
    118,      1,    236,      1,     79,     11,     15,  0.11102230E-15,      1,     65,     14,     10,  0.34032350E+01
    119,      1,    237,      1,     79,     22,     14,  0.27755576E-16,      1,     65,     14,     10,  0.35403190E+01
    119,      1,    238,      1,     79,     15,     14,  0.55511151E-16,      1,     65,     14,     10,  0.34280472E+01
    120,      1,    239,      1,     79,     13,      8,  0.13877788E-16,      1,     65,     14,     10,  0.34506181E+01
    120,      1,    240,      1,     79,     13,      8,  0.13877788E-16,      1,     65,     14,     10,  0.33852058E+01
    121,      1,    241,      1,     79,     15,      8,  0.13877788E-16,      1,     65,     14,     10,  0.33932362E+01
    121,      1,    242,      1,     79,     14,      8,  0.13877788E-16,      1,     65,     14,     10,  0.33448434E+01
    122,      1,    243,      1,     79,     12,     15,  0.11102230E-15,      1,     65,     14,     10,  0.33185941E+01
    122,      1,    244,      1,     79,     19,     14,  0.55511151E-16,      1,     65,     14,     10,  0.32966500E+01
    123,      1,    245,      1,     79,      6,     15,  0.55511151E-16,      1,     65,     14,     10,  0.32524986E+01
    123,      1,    246,      1,     79,     17,     14,  0.55511151E-16,      1,     65,     14,     10,  0.32423656E+01
    124,      1,    247,      1,     79,     17,     14,  0.55511151E-16,      1,     65,     14,     10,  0.32355320E+01
    124,      1,    248,      1,     79,      9,     14,  0.55511151E-16,      1,     65,     14,     10,  0.32074651E+01
    125,      1,    249,      1,     79,     16,     14,  0.55511151E-16,      1,     65,     14,     10,  0.32450963E+01
    125,      1,    250,      1,     79,     12,     15,  0.11102230E-15,      1,     65,     14,     10,  0.31897148E+01
    126,      1,    251,      1,     79,     19,     14,  0.55511151E-16,      1,     65,     14,     10,  0.32440281E+01
    126,      1,    252,      1,     79,     19,     14,  0.55511151E-16,      1,     65,     14,     10,  0.31970292E+01
    127,      1,    253,      1,     79,      9,     14,  0.55511151E-16,      1,     65,     15,     10,  0.32243107E+01
    127,      1,    254,      1,     79,      9,     14,  0.55511151E-16,      1,     65,     14,     10,  0.32087614E+01
    128,      1,    255,      1,     79,      7,     15,  0.55511151E-16,      1,     65,     15,     10,  0.32445608E+01
    128,      1,    256,      1,     79,     17,     14,  0.55511151E-16,      1,     65,     15,     10,  0.32466985E+01
    129,      1,    257,      1,     79,     22,     14,  0.55511151E-16,      1,     60,     17,     15,  0.32992771E+01
    129,      1,    258,      1,     79,     22,     14,  0.55511151E-16,      1,     60,     17,     15,  0.34114892E+01
    130,      1,    259,      1,     79,     15,     14,  0.55511151E-16,      1,     60,     17,     15,  0.35135259E+01
    130,      1,    260,      1,     79,     15,     14,  0.55511151E-16,      1,     60,     17,     15,  0.35954461E+01
    131,      1,    261,      1,     79,      5,     15,  0.55511151E-16,      1,     60,     17,     15,  0.37113138E+01
    131,      1,    262,      1,     79,      5,     15,  0.55511151E-16,      1,     60,     17,     15,  0.37511423E+01
