s,m/s,m/s,m/s,Pa,m/s,,,,
 9.5005477E-002, 1.5671575E-001, 0.0000000E+000, 3.3993368E-002,-2.5649465E-001, 1.8550104E-005, 1.0000000E+000, 9.0000000E+000, 7.2404735E-002, 1.9164017E-009
 9.9683120E-002, 1.4704030E-001, 0.0000000E+000, 3.3497011E-002,-2.4980367E-001, 1.9042208E-005, 1.0000000E+000, 9.0000000E+000, 7.2391884E-002, 1.9126243E-009
 1.0436076E-001, 1.3518390E-001, 0.0000000E+000, 3.2724518E-002,-3.2235820E-001, 1.2744296E-005, 1.0000000E+000, 9.0000000E+000, 7.2367419E-002, 1.7689524E-009
 1.0903841E-001, 1.2332482E-001, 0.0000000E+000, 3.1914040E-002,-3.2537012E-001, 1.2566847E-005, 1.0000000E+000, 9.0000000E+000, 7.2367500E-002, 1.7966471E-009
 1.1371605E-001, 1.1193777E-001, 0.0000000E+000, 3.1128541E-002,-3.1327635E-001, 1.3212646E-005, 1.0000000E+000, 9.0000000E+000, 7.2358758E-002, 1.7764087E-009
 1.1839369E-001, 1.0054674E-001, 0.0000000E+000, 3.0290910E-002,-3.1713957E-001, 1.3590035E-005, 1.0000000E+000, 9.0000000E+000, 7.2359462E-002, 1.8728106E-009
 1.2307134E-001, 8.9413449E-002, 0.0000000E+000, 2.9439916E-002,-3.1278370E-001, 1.4114512E-005, 1.0000000E+000, 9.0000000E+000, 7.2356326E-002, 1.9139805E-009
 1.2774898E-001, 7.8789883E-002, 0.0000000E+000, 2.8615055E-002,-3.0034562E-001, 1.4802770E-005, 1.0000000E+000, 9.0000000E+000, 7.2352541E-002, 1.9025922E-009
 1.3242662E-001, 6.8192117E-002, 0.0000000E+000, 2.7738988E-002,-3.0396770E-001, 1.5225040E-005, 1.0000000E+000, 9.0000000E+000, 7.2351778E-002, 2.0023390E-009
 1.3710427E-001, 5.8116860E-002, 0.0000000E+000, 2.6889502E-002,-2.9143537E-001, 1.5945181E-005, 1.0000000E+000, 9.0000000E+000, 7.2351023E-002, 1.9970807E-009
 1.4178191E-001, 4.8076825E-002, 0.0000000E+000, 2.5989319E-002,-2.9498220E-001, 1.6406325E-005, 1.0000000E+000, 9.0000000E+000, 7.2349411E-002, 2.1001024E-009
 1.4645955E-001, 3.8323305E-002, 0.0000000E+000, 2.5077137E-002,-2.9039415E-001, 1.7024008E-005, 1.0000000E+000, 9.0000000E+000, 7.2348938E-002, 2.1532712E-009
 1.5113720E-001, 2.9334440E-002, 0.0000000E+000, 2.4543974E-002,-2.6380266E-001, 1.8061423E-005, 1.0000000E+000, 9.0000000E+000, 7.2339618E-002, 1.7644488E-009
 1.5581484E-001, 2.1193385E-002, 0.0000000E+000, 2.5160724E-002,-2.1937776E-001, 3.1966327E-005, 1.0000000E+000, 9.0000000E+000, 6.9493516E-002, 1.6973471E-009
 1.6049248E-001, 1.3381532E-002, 0.0000000E+000, 2.5787458E-002,-2.1311757E-001, 3.2797688E-005, 1.0000000E+000, 9.0000000E+000, 6.9514727E-002, 1.7466565E-009
 1.6517012E-001, 6.0755985E-003, 0.0000000E+000, 2.6398682E-002,-2.0209995E-001, 3.2906664E-005, 1.0000000E+000, 9.0000000E+000, 6.9399775E-002, 1.7294593E-009
 1.6984777E-001,-1.1423718E-003, 0.0000000E+000, 2.7039706E-002,-2.0245547E-001, 3.4385796E-005, 1.0000000E+000, 9.0000000E+000, 6.9603717E-002, 1.8539254E-009
 1.7452541E-001,-7.8688263E-003, 0.0000000E+000, 2.7665483E-002,-1.9158912E-001, 3.4570996E-005, 1.0000000E+000, 9.0000000E+000, 6.9526871E-002, 1.8491666E-009
 1.7920305E-001,-1.4523951E-002, 0.0000000E+000, 2.8321228E-002,-1.9213411E-001, 3.6130993E-005, 1.0000000E+000, 9.0000000E+000, 6.9718889E-002, 1.9804973E-009
 1.8388070E-001,-2.0907228E-002, 0.0000000E+000, 2.8984621E-002,-1.8703983E-001, 3.7074618E-005, 1.0000000E+000, 9.0000000E+000, 6.9785056E-002, 2.0520773E-009
 1.8855834E-001,-2.6827926E-002, 0.0000000E+000, 2.9632825E-002,-1.7653614E-001, 3.7390621E-005, 1.0000000E+000, 9.0000000E+000, 6.9753846E-002, 2.0665041E-009
 1.9323598E-001,-3.2707564E-002, 0.0000000E+000, 3.0311014E-002,-1.7744915E-001, 3.9092624E-005, 1.0000000E+000, 9.0000000E+000, 6.9922518E-002, 2.2094109E-009
 1.9791363E-001,-3.8145631E-002, 0.0000000E+000, 3.0973984E-002,-1.6720163E-001, 3.9512781E-005, 1.0000000E+000, 9.0000000E+000, 6.9912085E-002, 2.2367723E-009
 2.0259127E-001,-4.4223074E-002, 0.0000000E+000, 3.1551862E-002,-1.9104737E-001, 3.6629792E-005, 1.0000000E+000, 9.0000000E+000, 7.0163492E-002, 2.1411561E-009
 2.0726891E-001,-5.0633882E-002, 0.0000000E+000, 3.2037262E-002,-2.0587130E-001, 3.3715674E-005, 1.0000000E+000, 9.0000000E+000, 7.0347187E-002, 2.0231090E-009
 2.1194656E-001,-5.6571616E-002, 0.0000000E+000, 3.2512007E-002,-1.9430082E-001, 3.4408551E-005, 1.0000000E+000, 9.0000000E+000, 7.0331775E-002, 2.0666625E-009
 2.1662420E-001,-6.2556001E-002, 0.0000000E+000, 3.3004935E-002,-1.9743625E-001, 3.5819382E-005, 1.0000000E+000, 9.0000000E+000, 7.0486675E-002, 2.2033465E-009
 2.2130184E-001,-6.8343047E-002, 0.0000000E+000, 3.3501661E-002,-1.9341279E-001, 3.6954594E-005, 1.0000000E+000, 9.0000000E+000, 7.0554089E-002, 2.3016738E-009
 2.2597949E-001,-7.3695654E-002, 0.0000000E+000, 3.3987640E-002,-1.8238258E-001, 3.7812427E-005, 1.0000000E+000, 9.0000000E+000, 7.0550064E-002, 2.3619233E-009
 2.3065713E-001,-7.9136340E-002, 0.0000000E+000, 3.4490931E-002,-1.8618813E-001, 3.9379983E-005, 1.0000000E+000, 9.0000000E+000, 7.0679316E-002, 2.5126539E-009
 2.3533477E-001,-8.4169122E-002, 0.0000000E+000, 3.4982807E-002,-1.7560491E-001, 4.0350904E-005, 1.0000000E+000, 9.0000000E+000, 7.0679402E-002, 2.5839157E-009
 2.4001242E-001,-8.9316021E-002, 0.0000000E+000, 3.5491277E-002,-1.7985596E-001, 4.2039660E-005, 1.0000000E+000, 9.0000000E+000, 7.0793113E-002, 2.7449593E-009
 2.4469006E-001,-9.4332276E-002, 0.0000000E+000, 3.6001784E-002,-1.7697499E-001, 4.3470350E-005, 1.0000000E+000, 9.0000000E+000, 7.0846201E-002, 2.8701295E-009
 2.4889866E-001,-9.8616016E-002, 0.0000000E+000, 3.6456193E-002,-1.7011765E-001, 4.0180160E-005, 1.0000000E+000, 9.0000000E+000, 7.0863593E-002, 2.9650611E-009
 2.5310726E-001,-9.3060175E-002, 0.0000000E+000, 3.7347754E-002, 1.6598218E-001, 5.3506627E-005, 1.0000000E+000, 9.0000000E+000, 6.8446537E-002, 2.8211275E-009
 2.5731585E-001,-8.4180768E-002, 0.0000000E+000, 3.8399654E-002, 2.8141681E-001, 6.1724105E-005, 1.0000000E+000, 9.0000000E+000, 6.8679275E-002, 3.3265663E-009
 2.6152445E-001,-7.5380097E-002, 0.0000000E+000, 3.9462119E-002, 2.8093947E-001, 6.3372498E-005, 1.0000000E+000, 9.0000000E+000, 6.8691234E-002, 3.4194891E-009
 2.6573305E-001,-6.6656237E-002, 0.0000000E+000, 4.0534617E-002, 2.8030427E-001, 6.5053665E-005, 1.0000000E+000, 9.0000000E+000, 6.8706158E-002, 3.5160679E-009
 2.6994165E-001,-5.7660896E-002, 0.0000000E+000, 4.1658626E-002, 2.9199058E-001, 6.7793400E-005, 1.0000000E+000, 9.0000000E+000, 6.8672547E-002, 3.6498055E-009
 2.7415025E-001,-4.9080523E-002, 0.0000000E+000, 4.2753475E-002, 2.7895828E-001, 6.8631159E-005, 1.0000000E+000, 9.0000000E+000, 6.8734928E-002, 3.7222223E-009
 2.7835884E-001,-4.0565503E-002, 0.0000000E+000, 4.3859778E-002, 2.7823243E-001, 7.0503343E-005, 1.0000000E+000, 9.0000000E+000, 6.8749462E-002, 3.8308216E-009
 2.8256744E-001,-3.2112306E-002, 0.0000000E+000, 4.4978234E-002, 2.7750788E-001, 7.2452700E-005, 1.0000000E+000, 9.0000000E+000, 6.8763139E-002, 3.9438087E-009
 2.8677604E-001,-2.3718855E-002, 0.0000000E+000, 4.6109365E-002, 2.7674016E-001, 7.4478835E-005, 1.0000000E+000, 9.0000000E+000, 6.8775901E-002, 4.0610576E-009
 2.9098464E-001,-1.5383782E-002, 0.0000000E+000, 4.7253692E-002, 2.7591838E-001, 7.6590843E-005, 1.0000000E+000, 9.0000000E+000, 6.8787566E-002, 4.1826598E-009
 2.9519324E-001,-7.1064335E-003, 0.0000000E+000, 4.8411735E-002, 2.7503112E-001, 7.8786285E-005, 1.0000000E+000, 9.0000000E+000, 6.8797981E-002, 4.3087255E-009
 2.9940184E-001, 1.4566055E-003, 0.0000000E+000, 4.9625027E-002, 2.8636897E-001, 8.2054627E-005, 1.0000000E+000, 9.0000000E+000, 6.8756091E-002, 4.4654637E-009
 3.0361043E-001, 8.4993241E-003, 0.0000000E+000, 5.0543305E-002, 2.2906098E-001, 7.5263800E-005, 1.0000000E+000, 9.0000000E+000, 6.9081781E-002, 4.2583364E-009
 3.0725462E-001, 1.4403450E-002, 0.0000000E+000, 5.1312677E-002, 2.2117006E-001, 6.5772919E-005, 1.0000000E+000, 9.0000000E+000, 6.9123296E-002, 4.3200636E-009
 3.1089881E-001, 2.0261300E-002, 0.0000000E+000, 5.2088177E-002, 2.1981181E-001, 6.7391906E-005, 1.0000000E+000, 9.0000000E+000, 6.9124269E-002, 4.4280989E-009
 3.1454300E-001, 2.6079921E-002, 0.0000000E+000, 5.2871943E-002, 2.1882977E-001, 6.9114335E-005, 1.0000000E+000, 9.0000000E+000, 6.9122120E-002, 4.5411681E-009
 3.1818719E-001, 3.2143013E-002, 0.0000000E+000, 5.3691131E-002, 2.2932150E-001, 7.1463483E-005, 1.0000000E+000, 9.0000000E+000, 6.9085619E-002, 4.6749488E-009
 3.2146036E-001, 3.7279214E-002, 0.0000000E+000, 5.4410081E-002, 2.1602925E-001, 6.5157290E-005, 1.0000000E+000, 9.0000000E+000, 6.9115660E-002, 4.7649182E-009
 3.2473353E-001, 4.2372570E-002, 0.0000000E+000, 5.5134700E-002, 2.1456710E-001, 6.6636747E-005, 1.0000000E+000, 9.0000000E+000, 6.9114050E-002, 4.8734807E-009
 3.2800670E-001, 4.7426835E-002, 0.0000000E+000, 5.5866471E-002, 2.1336247E-001, 6.8195115E-005, 1.0000000E+000, 9.0000000E+000, 6.9110182E-002, 4.9863762E-009
 3.3127987E-001, 5.2439624E-002, 0.0000000E+000, 5.6605509E-002, 2.1206712E-001, 6.9797260E-005, 1.0000000E+000, 9.0000000E+000, 6.9105845E-002, 5.1021859E-009
 3.3455304E-001, 5.7693979E-002, 0.0000000E+000, 5.7378882E-002, 2.2352930E-001, 7.2016844E-005, 1.0000000E+000, 9.0000000E+000, 6.9066895E-002, 5.2398428E-009
 3.3782621E-001, 6.2612504E-002, 0.0000000E+000, 5.8133257E-002, 2.0907359E-001, 7.3149398E-005, 1.0000000E+000, 9.0000000E+000, 6.9094550E-002, 5.3428540E-009
 3.4109938E-001, 6.7480316E-002, 0.0000000E+000, 5.8895071E-002, 2.0743641E-001, 7.4885159E-005, 1.0000000E+000, 9.0000000E+000, 6.9088764E-002, 5.4674622E-009
 3.4437255E-001, 7.2294406E-002, 0.0000000E+000, 5.9664486E-002, 2.0570505E-001, 7.6670917E-005, 1.0000000E+000, 9.0000000E+000, 6.9082357E-002, 5.5952758E-009
 3.4764572E-001, 7.7336697E-002, 0.0000000E+000, 6.0468524E-002, 2.1669885E-001, 7.9077669E-005, 1.0000000E+000, 9.0000000E+000, 6.9044831E-002, 5.7455851E-009
 3.5091889E-001, 8.1581844E-002, 0.0000000E+000, 6.1170151E-002, 1.8006423E-001, 7.7919797E-005, 1.0000000E+000, 9.0000000E+000, 6.9148658E-002, 5.7366210E-009
 3.5419206E-001, 8.4706928E-002, 0.0000000E+000, 6.1679934E-002, 1.2666938E-001, 7.3901468E-005, 1.0000000E+000, 9.0000000E+000, 6.9339245E-002, 5.5732761E-009
 3.5746523E-001, 8.7773471E-002, 0.0000000E+000, 6.2192226E-002, 1.2465758E-001, 7.5614188E-005, 1.0000000E+000, 9.0000000E+000, 6.9331699E-002, 5.6996618E-009
 3.6073840E-001, 9.0783053E-002, 0.0000000E+000, 6.2707977E-002, 1.2283415E-001, 7.7390376E-005, 1.0000000E+000, 9.0000000E+000, 6.9322903E-002, 5.8298151E-009
 3.6401157E-001, 9.3929074E-002, 0.0000000E+000, 6.3237498E-002, 1.2945282E-001, 7.9282488E-005, 1.0000000E+000, 9.0000000E+000, 6.9305015E-002, 5.9619410E-009
 3.6728474E-001, 9.6810704E-002, 0.0000000E+000, 6.3760010E-002, 1.1874045E-001, 8.1038204E-005, 1.0000000E+000, 9.0000000E+000, 6.9303622E-002, 6.0960036E-009
 3.7055791E-001, 9.9624208E-002, 0.0000000E+000, 6.4285585E-002, 1.1658113E-001, 8.2908491E-005, 1.0000000E+000, 9.0000000E+000, 6.9293406E-002, 6.2321419E-009
 3.7383107E-001, 1.0236573E-001, 0.0000000E+000, 6.4814087E-002, 1.1430444E-001, 8.4809343E-005, 1.0000000E+000, 9.0000000E+000, 6.9282522E-002, 6.3700515E-009
 3.7710424E-001, 1.0522824E-001, 0.0000000E+000, 6.5355785E-002, 1.2045705E-001, 8.6823493E-005, 1.0000000E+000, 9.0000000E+000, 6.9265101E-002, 6.5118633E-009
 3.8037741E-001, 1.0781065E-001, 0.0000000E+000, 6.5889872E-002, 1.0926902E-001, 8.8698331E-005, 1.0000000E+000, 9.0000000E+000, 6.9258063E-002, 6.6502882E-009
 3.8365058E-001, 1.1030914E-001, 0.0000000E+000, 6.6426402E-002, 1.0663365E-001, 9.0685700E-005, 1.0000000E+000, 9.0000000E+000, 6.9244614E-002, 6.7926094E-009
 3.8692375E-001, 1.1271972E-001, 0.0000000E+000, 6.6965224E-002, 1.0387657E-001, 9.2702436E-005, 1.0000000E+000, 9.0000000E+000, 6.9230092E-002, 6.9362158E-009
 3.9019692E-001, 1.1523511E-001, 0.0000000E+000, 6.7516594E-002, 1.0954301E-001, 9.4832873E-005, 1.0000000E+000, 9.0000000E+000, 6.9211764E-002, 7.0864819E-009
 3.9347009E-001, 1.1745415E-001, 0.0000000E+000, 6.8059710E-002, 9.7862885E-002, 9.6824545E-005, 1.0000000E+000, 9.0000000E+000, 6.9197336E-002, 7.2268855E-009
 3.9674326E-001, 1.1957319E-001, 0.0000000E+000, 6.8604644E-002, 9.4742003E-002, 9.8931042E-005, 1.0000000E+000, 9.0000000E+000, 6.9179138E-002, 7.3739647E-009
 4.0001643E-001, 1.2158830E-001, 0.0000000E+000, 6.9151270E-002, 9.1500798E-002, 1.0107077E-004, 1.0000000E+000, 9.0000000E+000, 6.9159551E-002, 7.5222444E-009
 4.0328960E-001, 1.2168569E-001, 0.0000000E+000, 6.9393580E-002, 1.5749371E-003, 9.4652889E-005, 1.0000000E+000, 9.0000000E+000, 6.9377132E-002, 7.2478422E-009
 4.0656277E-001, 1.2177132E-001, 0.0000000E+000, 6.9621694E-002, 1.5324970E-003, 9.6080708E-005, 1.0000000E+000, 9.0000000E+000, 6.9373849E-002, 7.3645674E-009
 4.0983594E-001, 1.2168076E-001, 0.0000000E+000, 6.9854145E-002,-4.5519193E-003, 9.8457712E-005, 1.0000000E+000, 9.0000000E+000, 6.9338598E-002, 7.5190942E-009
 4.1310911E-001, 1.2150541E-001, 0.0000000E+000, 7.0083452E-002,-7.1247595E-003, 1.0045541E-004, 1.0000000E+000, 9.0000000E+000, 6.9316036E-002, 7.6588152E-009
 4.1638228E-001, 1.2124366E-001, 0.0000000E+000, 7.0309481E-002,-9.7735088E-003, 1.0247875E-004, 1.0000000E+000, 9.0000000E+000, 6.9292351E-002, 7.7994095E-009
 4.1965545E-001, 1.2098381E-001, 0.0000000E+000, 7.0524481E-002,-9.0515702E-003, 1.0415721E-004, 1.0000000E+000, 9.0000000E+000, 6.9284676E-002, 7.9298020E-009
 4.2292862E-001, 1.2054332E-001, 0.0000000E+000, 7.0743622E-002,-1.5333065E-002, 1.0676099E-004, 1.0000000E+000, 9.0000000E+000, 6.9242362E-002, 8.0837414E-009
 4.2620179E-001, 1.2001412E-001, 0.0000000E+000, 7.0959449E-002,-1.8096641E-002, 1.0910202E-004, 1.0000000E+000, 9.0000000E+000, 6.9215478E-002, 8.2280611E-009
 4.2947496E-001, 1.1939510E-001, 0.0000000E+000, 7.1171853E-002,-2.0931797E-002, 1.1148510E-004, 1.0000000E+000, 9.0000000E+000, 6.9187664E-002, 8.3733464E-009
 4.3274813E-001, 1.1868566E-001, 0.0000000E+000, 7.1380796E-002,-2.3812703E-002, 1.1390841E-004, 1.0000000E+000, 9.0000000E+000, 6.9158973E-002, 8.5194851E-009
 4.3602130E-001, 1.1797443E-001, 0.0000000E+000, 7.1578522E-002,-2.3322304E-002, 1.1604255E-004, 1.0000000E+000, 9.0000000E+000, 6.9150426E-002, 8.6622192E-009
 4.3929447E-001, 1.1707922E-001, 0.0000000E+000, 7.1780182E-002,-2.9845480E-002, 1.1883557E-004, 1.0000000E+000, 9.0000000E+000, 6.9100368E-002, 8.8128488E-009
 4.4256764E-001, 1.1609235E-001, 0.0000000E+000, 7.1978314E-002,-3.2852387E-002, 1.2133242E-004, 1.0000000E+000, 9.0000000E+000, 6.9069828E-002, 8.9589879E-009
 4.4584080E-001, 1.1501286E-001, 0.0000000E+000, 7.2172779E-002,-3.5941813E-002, 1.2382535E-004, 1.0000000E+000, 9.0000000E+000, 6.9038944E-002, 9.1034233E-009
 4.4911397E-001, 1.1392934E-001, 0.0000000E+000, 7.2355795E-002,-3.5671999E-002, 1.2597639E-004, 1.0000000E+000, 9.0000000E+000, 6.9031523E-002, 9.2473041E-009
 4.5238714E-001, 1.1125149E-001, 0.0000000E+000, 7.2332954E-002,-1.0891438E-001, 1.2268894E-004, 1.0000000E+000, 9.0000000E+000, 6.9071883E-002, 9.0618461E-009
 4.5566031E-001, 1.0803572E-001, 0.0000000E+000, 7.2232547E-002,-1.3369819E-001, 1.2279436E-004, 1.0000000E+000, 9.0000000E+000, 6.9072781E-002, 9.0718134E-009
 4.5893348E-001, 1.0476808E-001, 0.0000000E+000, 7.2124442E-002,-1.3576454E-001, 1.2476490E-004, 1.0000000E+000, 9.0000000E+000, 6.9040680E-002, 9.1774957E-009
 4.6220665E-001, 1.0143069E-001, 0.0000000E+000, 7.1984844E-002,-1.3955248E-001, 1.2582332E-004, 1.0000000E+000, 9.0000000E+000, 6.9039525E-002, 9.2507377E-009
 4.6547982E-001, 9.8067228E-002, 0.0000000E+000, 7.1861603E-002,-1.3982753E-001, 1.2829631E-004, 1.0000000E+000, 9.0000000E+000, 6.8977474E-002, 9.3583012E-009
 4.6875299E-001, 9.4660752E-002, 0.0000000E+000, 7.1731244E-002,-1.4179259E-001, 1.2984035E-004, 1.0000000E+000, 9.0000000E+000, 6.8945091E-002, 9.4308604E-009
 4.7202616E-001, 9.1213001E-002, 0.0000000E+000, 7.1593571E-002,-1.4381232E-001, 1.3119697E-004, 1.0000000E+000, 9.0000000E+000, 6.8912653E-002, 9.4893862E-009
 4.7529933E-001, 8.7726854E-002, 0.0000000E+000, 7.1448489E-002,-1.4583164E-001, 1.3235942E-004, 1.0000000E+000, 9.0000000E+000, 6.8880091E-002, 9.5334168E-009
 4.7857250E-001, 8.4184066E-002, 0.0000000E+000, 7.1271640E-002,-1.4964121E-001, 1.3252509E-004, 1.0000000E+000, 9.0000000E+000, 6.8880664E-002, 9.5446126E-009
 4.8184567E-001, 8.0629838E-002, 0.0000000E+000, 7.1110581E-002,-1.4990108E-001, 1.3405167E-004, 1.0000000E+000, 9.0000000E+000, 6.8816270E-002, 9.5770370E-009
 4.8511884E-001, 7.7048958E-002, 0.0000000E+000, 7.0941486E-002,-1.5180612E-001, 1.3461912E-004, 1.0000000E+000, 9.0000000E+000, 6.8783673E-002, 9.5778762E-009
 4.8839201E-001, 7.3444961E-002, 0.0000000E+000, 7.0763778E-002,-1.5371199E-001, 1.3499342E-004, 1.0000000E+000, 9.0000000E+000, 6.8751350E-002, 9.5652946E-009
 4.9166518E-001, 6.9800949E-002, 0.0000000E+000, 7.0552799E-002,-1.5736079E-001, 1.3439558E-004, 1.0000000E+000, 9.0000000E+000, 6.8755624E-002, 9.5273528E-009
 4.9493835E-001, 6.6163189E-002, 0.0000000E+000, 7.0355881E-002,-1.5741265E-001, 1.3519844E-004, 1.0000000E+000, 9.0000000E+000, 6.8689952E-002, 9.5057472E-009
 4.9821152E-001, 6.2517155E-002, 0.0000000E+000, 7.0149091E-002,-1.5907151E-001, 1.3509494E-004, 1.0000000E+000, 9.0000000E+000, 6.8659822E-002, 9.4622117E-009
 5.0000000E-001, 6.0575910E-002, 0.0000000E+000, 7.0049506E-002,-1.5484987E-001, 7.4228925E-005, 1.0000000E+000, 9.0000000E+000, 6.8609235E-002, 9.4515242E-009
